# Hybrid Glider Plugin Log
# t,x,y,z,p,q,r
17.9,0.781767,0,-4.49188,0,0.594337,3.14159
18,0.792583,0,-4.48249,0,0.611186,3.14159
18.1,0.803562,0,-4.47279,0,0.627565,3.14159
18.2,0.814702,0,-4.46276,0,0.643471,3.14159
18.3,0.826001,0,-4.4524,0,0.658901,3.14159
18.4,0.837454,0,-4.44171,0,0.673853,3.14159
18.5,0.849059,0,-4.43068,0,0.688325,3.14159
18.6,0.860814,0,-4.41932,0,0.702318,3.14159
18.7,0.872714,0,-4.40761,0,0.715832,3.14159
18.8,0.884759,0,-4.39556,0,0.728869,3.14159
18.9,0.896944,0,-4.38316,0,0.741431,3.14159
19,0.909268,0,-4.37041,0,0.75352,3.14159
19.1,0.921728,0,-4.35731,0,0.76514,3.14159
19.2,0.934322,0,-4.34386,0,0.776296,3.14159
19.3,0.947048,0,-4.33005,0,0.786991,3.14159
19.4,0.959905,0,-4.31589,0,0.79723,3.14159
19.5,0.97289,0,-4.30137,0,0.807021,3.14159
19.6,0.986003,0,-4.2865,0,0.816367,3.14159
19.7,0.999242,0,-4.27127,0,0.825277,3.14159
19.8,1.01261,0,-4.25568,0,0.833755,3.14159
19.9,1.0261,0,-4.23974,0,0.841811,3.14159
20,1.03971,0,-4.22345,0,0.84945,3.14159
20.1,1.05345,0,-4.2068,0,0.85668,3.14159
20.2,1.06731,0,-4.1898,0,0.86351,3.14159
20.3,1.08129,0,-4.17244,0,0.869946,3.14159
20.4,1.0954,0,-4.15474,0,0.875998,3.14159
20.5,1.10964,0,-4.13669,0,0.881674,3.14159
20.6,1.124,0,-4.11829,0,0.886981,3.14159
20.7,1.13849,0,-4.09954,0,0.891929,3.14159
20.8,1.15311,0,-4.08045,0,0.896525,3.14159
20.9,1.16786,0,-4.06103,0,0.900779,3.14159
21,1.18274,0,-4.04126,0,0.904699,3.14159
21.1,1.19775,0,-4.02116,0,0.908293,3.14159
21.2,1.2129,0,-4.00073,0,0.911571,3.14159
21.3,1.22819,0,-3.97997,0,0.914541,3.14159
21.4,1.24362,0,-3.95889,0,0.917211,3.14159
21.5,1.25919,0,-3.93748,0,0.91959,3.14159
21.6,1.27491,0,-3.91575,0,0.921687,3.14159
21.7,1.29078,0,-3.89371,0,0.92351,3.14159
21.8,1.3068,0,-3.87136,0,0.925067,3.14159
21.9,1.32297,0,-3.8487,0,0.926366,3.14159
22,1.33931,0,-3.82574,0,0.927417,3.14159
22.1,1.3558,0,-3.80248,0,0.928227,3.14159
22.2,1.37246,0,-3.77893,0,0.928803,3.14159
22.3,1.38928,0,-3.75508,0,0.929155,3.14159
22.4,1.40628,0,-3.73095,0,0.92929,3.14159
22.5,1.42345,0,-3.70655,0,0.929216,3.14159
22.6,1.4408,0,-3.68186,0,0.92894,3.14159
22.7,1.45832,0,-3.6569,0,0.92847,3.14159
22.8,1.47604,0,-3.63168,0,0.927814,3.14159
22.9,1.49394,0,-3.6062,0,0.926979,3.14159
23,1.51204,0,-3.58046,0,0.925972,3.14159
23.1,1.53033,0,-3.55447,0,0.924801,3.14159
23.2,1.54881,0,-3.52824,0,0.923472,3.14159
23.3,1.5675,0,-3.50176,0,0.921993,3.14159
23.4,1.5864,0,-3.47505,0,0.92037,3.14159
23.5,1.6055,0,-3.44811,0,0.91861,3.14159
23.6,1.62482,0,-3.42095,0,0.916721,3.14159
23.7,1.64434,0,-3.39357,0,0.914707,3.14159
23.8,1.66409,0,-3.36597,0,0.912577,3.14159
23.9,1.68406,0,-3.33816,0,0.910335,3.14159
24,1.70425,0,-3.31015,0,0.907989,3.14159
24.1,1.72467,0,-3.28195,0,0.905545,3.14159
24.2,1.74531,0,-3.25355,0,0.903008,3.14159
24.3,1.76619,0,-3.22496,0,0.900385,3.14159
24.4,1.7873,0,-3.1962,0,0.897682,3.14159
24.5,1.80864,0,-3.16725,0,0.894903,3.14159
24.6,1.83023,0,-3.13813,0,0.892056,3.14159
24.7,1.85205,0,-3.10885,0,0.889145,3.14159
24.8,1.87412,0,-3.07941,0,0.886175,3.14159
24.9,1.89643,0,-3.0498,0,0.883153,3.14159
25,1.91899,0,-3.02005,0,0.880083,3.14159
25.1,1.94179,0,-2.99015,0,0.876971,3.14159
25.2,1.96289,0,-2.96245,0,0.873057,3.14159
25.3,1.98394,0,-2.93495,0,0.867678,3.14159
25.4,2.00631,0,-2.90608,0,0.860714,3.14159
25.5,2.03017,0,-2.87574,0,0.852469,3.14159
25.6,2.05435,0,-2.84536,0,0.843105,3.14159
25.7,2.07888,0,-2.81498,0,0.832717,3.14159
25.8,2.10377,0,-2.78464,0,0.821369,3.14159
25.9,2.12904,0,-2.75436,0,0.809108,3.14159
26,2.1547,0,-2.72419,0,0.795975,3.14159
26.1,2.18078,0,-2.69416,0,0.782003,3.14159
26.2,2.20727,0,-2.66431,0,0.767225,3.14159
26.3,2.23418,0,-2.63468,0,0.751673,3.14159
26.4,2.26153,0,-2.6053,0,0.735375,3.14159
26.5,2.28932,0,-2.57622,0,0.718362,3.14159
26.6,2.31755,0,-2.54747,0,0.700661,3.14159
26.7,2.34621,0,-2.5191,0,0.682302,3.14159
26.8,2.37531,0,-2.49114,0,0.663311,3.14159
26.9,2.40484,0,-2.46364,0,0.643718,3.14159
27,2.43479,0,-2.43663,0,0.623549,3.14159
27.1,2.46515,0,-2.41015,0,0.602833,3.14159
27.2,2.4959,0,-2.38424,0,0.581598,3.14159
27.3,2.52704,0,-2.35893,0,0.559874,3.14159
27.4,2.55853,0,-2.33426,0,0.537687,3.14159
27.5,2.59037,0,-2.31027,0,0.515069,3.14159
27.6,2.62252,0,-2.28697,0,0.492047,3.14159
27.7,2.65496,0,-2.26441,0,0.468652,3.14159
27.8,2.68766,0,-2.24261,0,0.444915,3.14159
27.9,2.7206,0,-2.22159,0,0.420865,3.14159
28,2.75374,0,-2.20138,0,0.396533,3.14159
28.1,2.78706,0,-2.18199,0,0.371952,3.14159
28.2,2.82051,0,-2.16343,0,0.347151,3.14159
28.3,2.85406,0,-2.14574,0,0.322164,3.14159
28.4,2.88768,0,-2.12891,0,0.297021,3.14159
28.5,2.92133,0,-2.11295,0,0.271756,3.14159
28.6,2.95497,0,-2.09786,0,0.246399,3.14159
28.7,2.98858,0,-2.08366,0,0.220983,3.14159
28.8,3.02211,0,-2.07033,0,0.19554,3.14159
28.9,3.05553,0,-2.05787,0,0.170102,3.14159
29,3.08881,0,-2.04628,0,0.144699,3.14159
29.1,3.12191,0,-2.03554,0,0.119364,3.14159
29.2,3.1548,0,-2.02565,0,0.0941267,3.14159
29.3,3.18744,0,-2.01658,0,0.0690172,3.14159
29.4,3.21983,0,-2.00833,0,0.044065,3.14159
29.5,3.25191,0,-2.00087,0,0.019299,3.14159
29.6,3.28367,0,-1.99418,0,-0.00525286,3.14159
29.7,3.31509,0,-1.98825,0,-0.0295635,3.14159
29.8,3.34614,0,-1.98304,0,-0.0536067,3.14159
29.9,3.3768,0,-1.97854,0,-0.0773572,3.14159
30,3.40706,0,-1.97471,0,-0.100791,3.14159
30.1,3.43689,0,-1.97154,0,-0.123885,3.14159
30.2,3.46629,0,-1.96899,0,-0.146617,3.14159
30.3,3.49525,0,-1.96703,0,-0.168967,3.14159
30.4,3.52375,0,-1.96565,0,-0.190916,3.14159
30.5,3.55179,0,-1.96481,0,-0.212444,3.14159
30.6,3.57936,0,-1.96449,0,-0.233536,3.14159
30.7,3.60645,0,-1.96465,0,-0.254176,3.14159
30.8,3.63307,0,-1.96528,0,-0.274349,3.14159
30.9,3.65922,0,-1.96634,0,-0.294043,3.14159
